phi0,g,delta,rh_pc,rt_pc,converged,nll,error,seconds,iteration
5.0,0.0,0.45,5.0,16.74185081453972,True,1314.942722469892,,0.36990119982510805,1
5.0,0.0,0.45,6.0,20.09022097744766,True,1353.0736469502112,,0.36244940012693405,1
5.0,0.0,0.45,8.0,26.78696130326355,True,1414.6739544748034,,0.36310849990695715,1
5.0,0.0,0.45,10.0,33.48370162907944,True,1458.4898650033224,,0.36320800008252263,1
5.0,0.0,0.6,2.0,5.661147962348854,True,3614.555570400281,,0.43040410010144114,1
5.0,0.0,0.6,3.0,8.491721943523281,True,1963.094059385103,,0.4328958000987768,1
5.0,0.0,0.6,4.0,11.322295924697707,True,1301.1031119237266,,0.4357201000675559,1
5.0,0.0,0.6,5.0,14.152869905872135,True,1306.9390646653385,,0.42946929996833205,1
5.0,0.0,0.6,6.0,16.983443887046562,True,1358.124383422883,,0.43036799994297326,1
5.0,0.0,0.6,8.0,22.644591849395415,True,1449.3912588548583,,0.42875000019557774,1
5.0,0.0,0.6,10.0,28.30573981174427,True,1512.2584052795805,,0.44148529996164143,1
5.0,1.0,0.0,2.0,10.710056788595043,True,1693.6575184416565,,0.1529447000939399,1
5.0,1.0,0.0,3.0,16.065085182892567,True,1332.8425005182446,,0.16601409995928407,1
5.0,1.0,0.0,4.0,21.420113577190087,True,1269.1848301367158,,0.14647620008327067,1
5.0,1.0,0.0,5.0,26.775141971487606,True,1275.24001825584,,0.14195630000904202,1
5.0,1.0,0.0,6.0,32.13017036578513,True,1304.032108730922,,0.1421950999647379,1
5.0,1.0,0.0,8.0,42.84022715438017,True,1379.5894755736892,,0.1440510000102222,1
5.0,1.0,0.0,10.0,53.55028394297521,True,1455.0423734724857,,0.14497840008698404,1
5.0,1.0,0.15,2.0,11.405886707643615,True,1602.9215493027584,,0.22568530007265508,1
5.0,1.0,0.15,3.0,17.108830061465422,True,1310.4662350458461,,0.2254943000152707,1
5.0,1.0,0.15,4.0,22.81177341528723,True,1264.2165026253574,,0.22786949994042516,1
5.0,1.0,0.15,5.0,28.51471676910904,True,1275.9633501454855,,0.2324367999099195,1
5.0,1.0,0.15,6.0,34.217660122930845,True,1306.236813415041,,0.22752800001762807,1
5.0,1.0,0.15,8.0,45.62354683057446,True,1380.0829339901206,,0.2295069000683725,1
5.0,1.0,0.15,10.0,57.02943353821808,True,1451.721506254333,,0.22792840003967285,1
5.0,1.0,0.3,2.0,12.630315835486359,True,1508.4576954734193,,0.27357279998250306,1
5.0,1.0,0.3,3.0,18.94547375322954,True,1298.1635032460422,,0.27533299988135695,1
5.0,1.0,0.3,4.0,25.260631670972717,True,1269.8226471340254,,0.2796815999317914,1
5.0,1.0,0.3,5.0,31.5757895887159,True,1283.2953477692133,,0.27547360002063215,1
5.0,1.0,0.3,6.0,37.89094750645908,True,1310.0634604426539,,0.2701806998811662,1
5.0,1.0,0.3,8.0,50.521263341945435,True,1372.4354781476948,,0.2750240999739617,1
5.0,1.0,0.3,10.0,63.1515791774318,True,1432.6399746227512,,0.2735874999780208,1
5.0,1.0,0.45,2.0,13.061126326896337,True,1476.105893211206,,0.361255900003016,1
